record_id,road_name,mapped_edge_ids,mapping_status,reviewer_1,reviewer_1_status,reviewer_2,reviewer_2_status,review_status,note
FH2025-007,Dương Văn Cam,UTR_EDGE_11268;UTR_EDGE_11269;UTR_EDGE_11270;UTR_EDGE_11271;UTR_EDGE_11272;UTR_EDGE_11273;UTR_EDGE_11274;UTR_EDGE_11275;UTR_EDGE_11276;UTR_EDGE_11277;UTR_EDGE_11278;UTR_EDGE_11279;UTR_EDGE_49757;UTR_EDGE_49758,CANDIDATE_MATCH_PENDING_TWO_HUMAN_REVIEWS,,PENDING_TEAM_MEMBER,,PENDING_TEAM_MEMBER,PENDING_TWO_HUMAN_REVIEWS,Automated source/name precheck only. Two human team members must sign before Verified.
FH2025-008,Đặng Văn Bi,UTR_EDGE_2022;UTR_EDGE_2023;UTR_EDGE_2024;UTR_EDGE_2025;UTR_EDGE_2026;UTR_EDGE_2027;UTR_EDGE_2028;UTR_EDGE_2029;UTR_EDGE_2030;UTR_EDGE_2031;UTR_EDGE_2032;UTR_EDGE_2033;UTR_EDGE_2034;UTR_EDGE_2035,CANDIDATE_MATCH_PENDING_TWO_HUMAN_REVIEWS,,PENDING_TEAM_MEMBER,,PENDING_TEAM_MEMBER,PENDING_TWO_HUMAN_REVIEWS,Automated source/name precheck only. Two human team members must sign before Verified.
FH2025-015,"Hẻm 95, đường Võ Văn Ngân",,OUT_OF_GRAPH,,PENDING_TEAM_MEMBER,,PENDING_TEAM_MEMBER,PENDING_TWO_HUMAN_REVIEWS,Automated source/name precheck only. Two human team members must sign before Verified.
FH2026-MARKET-CONTEXT,Kha Vạn Cân,UTR_EDGE_18188;UTR_EDGE_18189;UTR_EDGE_18190;UTR_EDGE_18191;UTR_EDGE_18192;UTR_EDGE_18193;UTR_EDGE_18194;UTR_EDGE_18195;UTR_EDGE_18196;UTR_EDGE_18197;UTR_EDGE_18198;UTR_EDGE_18199;UTR_EDGE_37493;UTR_EDGE_37494;UTR_EDGE_37495;UTR_EDGE_37496;UTR_EDGE_37497;UTR_EDGE_37498;UTR_EDGE_37499;UTR_EDGE_37500;UTR_EDGE_37501;UTR_EDGE_37502;UTR_EDGE_37503;UTR_EDGE_37504;UTR_EDGE_37505;UTR_EDGE_37506;UTR_EDGE_37507;UTR_EDGE_37508;UTR_EDGE_37509;UTR_EDGE_37510;UTR_EDGE_37511;UTR_EDGE_37512;UTR_EDGE_37513;UTR_EDGE_37514;UTR_EDGE_37515;UTR_EDGE_37516;UTR_EDGE_37525;UTR_EDGE_37526;UTR_EDGE_37527;UTR_EDGE_37528;UTR_EDGE_37529;UTR_EDGE_37530;UTR_EDGE_37531;UTR_EDGE_37532;UTR_EDGE_37533;UTR_EDGE_37534;UTR_EDGE_79308;UTR_EDGE_79309;UTR_EDGE_79310;UTR_EDGE_79311;UTR_EDGE_79312;UTR_EDGE_79313,CONTEXT_ONLY_PENDING_TWO_HUMAN_REVIEWS,,PENDING_TEAM_MEMBER,,PENDING_TEAM_MEMBER,PENDING_TWO_HUMAN_REVIEWS,Automated source/name precheck only. Two human team members must sign before Verified.
