edge_id,from_node_id,to_node_id,road_name,road_type,direction,distance_m,distance_derivation,free_flow_speed_kph,free_flow_time_min,speed_derivation,congestion_level_1_5,flood_risk_0_1,flood_observation_status,source_id,source_segment_id,data_status
UTR_EDGE_79181,UTR_NODE_2963992329,UTR_NODE_2963992328,Đường số 6,tertiary,SOURCE_DIRECTED,124.000,SOURCE_LENGTH,30.000,0.248000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79181,DERIVED
UTR_EDGE_79182,UTR_NODE_2963992329,UTR_NODE_5769336129,Đường số 6,tertiary,SOURCE_DIRECTED,24.000,SOURCE_LENGTH,30.000,0.048000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79182,DERIVED
UTR_EDGE_79183,UTR_NODE_5769336129,UTR_NODE_2963992329,Đường số 6,tertiary,SOURCE_DIRECTED,24.000,SOURCE_LENGTH,30.000,0.048000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79183,DERIVED
UTR_EDGE_79184,UTR_NODE_5769336129,UTR_NODE_5769336065,Đường số 6,tertiary,SOURCE_DIRECTED,24.000,SOURCE_LENGTH,30.000,0.048000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79184,DERIVED
UTR_EDGE_79185,UTR_NODE_5769336065,UTR_NODE_5769336129,Đường số 6,tertiary,SOURCE_DIRECTED,24.000,SOURCE_LENGTH,30.000,0.048000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79185,DERIVED
UTR_EDGE_79186,UTR_NODE_5769336065,UTR_NODE_2963993937,Đường số 6,tertiary,SOURCE_DIRECTED,30.000,SOURCE_LENGTH,30.000,0.060000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79186,DERIVED
UTR_EDGE_79187,UTR_NODE_2963993937,UTR_NODE_5769336065,Đường số 6,tertiary,SOURCE_DIRECTED,30.000,SOURCE_LENGTH,30.000,0.060000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79187,DERIVED
UTR_EDGE_79188,UTR_NODE_2963993937,UTR_NODE_5769336130,Đường số 6,tertiary,SOURCE_DIRECTED,48.000,SOURCE_LENGTH,30.000,0.096000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79188,DERIVED
UTR_EDGE_79189,UTR_NODE_5769336130,UTR_NODE_2963993937,Đường số 6,tertiary,SOURCE_DIRECTED,48.000,SOURCE_LENGTH,30.000,0.096000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79189,DERIVED
UTR_EDGE_79190,UTR_NODE_5769336130,UTR_NODE_2963992327,Đường số 6,tertiary,SOURCE_DIRECTED,101.000,SOURCE_LENGTH,30.000,0.202000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79190,DERIVED
UTR_EDGE_79191,UTR_NODE_2963992327,UTR_NODE_5769336130,Đường số 6,tertiary,SOURCE_DIRECTED,101.000,SOURCE_LENGTH,30.000,0.202000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79191,DERIVED
UTR_EDGE_79192,UTR_NODE_2963992327,UTR_NODE_5769336078,Đường số 6,tertiary,SOURCE_DIRECTED,44.000,SOURCE_LENGTH,30.000,0.088000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79192,DERIVED
UTR_EDGE_79193,UTR_NODE_5769336078,UTR_NODE_2963992327,Đường số 6,tertiary,SOURCE_DIRECTED,44.000,SOURCE_LENGTH,30.000,0.088000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79193,DERIVED
UTR_EDGE_79194,UTR_NODE_5769336078,UTR_NODE_5757756787,Đường số 6,tertiary,SOURCE_DIRECTED,52.000,SOURCE_LENGTH,30.000,0.104000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79194,DERIVED
UTR_EDGE_79195,UTR_NODE_5757756787,UTR_NODE_5769336078,Đường số 6,tertiary,SOURCE_DIRECTED,52.000,SOURCE_LENGTH,30.000,0.104000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79195,DERIVED
UTR_EDGE_79308,UTR_NODE_5758041297,UTR_NODE_2947068443,Kha Vạn Cân,tertiary,SOURCE_DIRECTED,36.000,SOURCE_LENGTH,30.000,0.072000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79308,DERIVED
UTR_EDGE_79309,UTR_NODE_2947068443,UTR_NODE_5758041297,Kha Vạn Cân,tertiary,SOURCE_DIRECTED,36.000,SOURCE_LENGTH,30.000,0.072000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79309,DERIVED
UTR_EDGE_79310,UTR_NODE_2947068443,UTR_NODE_366410061,Kha Vạn Cân,tertiary,SOURCE_DIRECTED,57.000,SOURCE_LENGTH,30.000,0.114000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79310,DERIVED
UTR_EDGE_79311,UTR_NODE_366410061,UTR_NODE_2947068443,Kha Vạn Cân,tertiary,SOURCE_DIRECTED,57.000,SOURCE_LENGTH,30.000,0.114000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79311,DERIVED
UTR_EDGE_79312,UTR_NODE_2947068442,UTR_NODE_5758041297,Kha Vạn Cân,tertiary,SOURCE_DIRECTED,24.000,SOURCE_LENGTH,30.000,0.048000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79312,DERIVED
